1,hamama,to shout,1,To call out loudly.,25.3.2025,1,3
2,haramai (haere mai),come,1,To move towards someone.,25.3.2025,1,2
3,hari,to carry,1,To move an object from one place to another.,25.3.2025,1,5
4,hiki,to raise,1,To lift something up.,25.3.2025,1,8
5,hikoi,to walk,1,To move from one place to another by moving one's feet slowly.,25.3.2025,1,4
6,hoe,to row,1,To move through water in a boat with oars,25.3.2025,1,3
7,hokohoko,to shop,1,To buy things.,25.3.2025,1,9
8,hopu,to catch,1,To take hold of something that is moving.,25.3.2025,1,9
9,horoi,to clean,1,To remove dirt.,25.3.2025,1,6
10,kake,to climb,1,To go move upwards.,25.3.2025,1,10
11,kanikani,dance,1,To move to music.,25.3.2025,1,3
12,kata,to laugh,1,To make sounds expressing amusement / joy.,25.3.2025,1,4
13,kauhoe,to swim,1,To move through water using ones arms and legs.,25.3.2025,1,1
14,kaukau,to bathe,1,To get clean using water.,25.3.2025,1,7
15,kite,to see,1,To take in information using ones eyes.,25.3.2025,1,7
16,korero,to speak,1,To say something,25.3.2025,1,1
17,korerorero,to discuss,1,To take turns talking about a topic.,25.3.2025,1,9
18,kukume,to pull,1,To drag something towards oneself,25.3.2025,1,5
19,makere,to fall,1,To land on the ground after being higher up (often painful).,25.3.2025,1,5
20,mataki,to watch,1,To observe something.,25.3.2025,1,3
21,mihi,to greet,1,To say hello / good bye.,25.3.2025,1,7
22,moe,to marry,1,To commit to be with someone else with the purpose of starting a family.,25.3.2025,1,3
23,moe,to sleep,1,To rest (dreaming may be involved),25.3.2025,1,6
24,moemoea,to dream,1,To see images / experience something that is not really happening (when sleeping).,25.3.2025,1,3
25,noho,to sit,1,Opposite of standing. Often done on a chair but sometimes done on the floor.,25.3.2025,1,10
26,noho,to live,1,Opposite of being dead.,25.3.2025,1,10
27,noho,to stay,1,To remain in one place.,25.3.2025,1,3
28,nuku,to move,1,To go from one place to another.,25.3.2025,1,9
29,oho,to wake up,1,To stop sleeping.,25.3.2025,1,4
30,panui,to read,1,To interpret the meaning of written words.,25.3.2025,1,5
31,patu,to kill,1,To take a life.,25.3.2025,1,10
32,rere,to sail,1,To travel on water (boats are involved).,25.3.2025,1,1
33,rere,to fly,1,To travel through the air (requires wings / aircraft).,25.3.2025,1,8
34,rere,to escape,1,To get away from a person / place.,25.3.2025,1,10
35,rere,to flow,1,To move smoothly (often involves water / liquid).,25.3.2025,1,5
36,ruku,to dive,1,To enter water from a height.,25.3.2025,1,9
37,takaro,to play,1,To be involved in a game.,25.3.2025,1,6
38,tuku,to allow,1,To let something happen.,25.3.2025,1,1
39,tuku,to send,1,To make something go somewhere.,25.3.2025,1,4
40,waiata,to sing,1,To make musical sounds,25.3.2025,1,10
41,heihei,chicken,2,Bird that tastes good when roasted.,25.3.2025,1,10
42,hipi,sheep,2,Animal that provides wool.,25.3.2025,1,2
43,hoiho,horse,2,Animal that can be ridden / raced.,25.3.2025,1,4
44,huruhuru,feather,2,Covering of birds.,25.3.2025,1,2
45,ika,fish,2,"Animal that lives in water, has fins and scales.",25.3.2025,1,3
46,kararehe,animal,2,Living thing that is not a plant.,25.3.2025,1,8
47,kau,cow,2,Animal that gives milk and goes 'moo'.,25.3.2025,1,3
48,kawhe,calf,2,Baby cow.,25.3.2025,1,5
49,kiore,rat,2,Pest that eats just about anything.,25.3.2025,1,7
50,kiwi,kiwi,2,Native bird with long beak (cannot fly).,25.3.2025,1,9
51,kotuku,white heron,2,Native bird with white feathers and long graceful neck (not to be confused with swans).,25.3.2025,1,1
52,kuri,dog,2,Animal which can be trained to 'fetch'.,25.3.2025,1,9
53,manu,bird,2,Animal with feathers and wings (can usually fly).,25.3.2025,1,9
54,mokai,pet,2,Animal which is cared for by humans.,25.3.2025,1,8
55,moko,lizard,2,"Animal with four legs, a long body and very small scales.",25.3.2025,1,2
56,ngarara,reptile,2,"Animals which lay leathery eggs eg: turtles, crocodiles and lizards.",25.3.2025,1,4
57,ngata,snail,2,Slimy garden pest which has a shell.,25.3.2025,1,1
58,ngeru,cat,2,"Furry pet which eats mice, birds and cat food.",25.3.2025,1,4
59,noke,worm,2,Long animal without legs. Often soft and squishy.,25.3.2025,1,5
60,pea,bear,2,Large animal with claws and teeth. Not native to New Zealand.,25.3.2025,1,6
61,pi,bee,2,Yellow and black insect which makes honey,25.3.2025,1,9
62,poaka,pig,2,Animal that we use to get bacon / pork.,25.3.2025,1,10
63,poraka,frog,2,"Animal found in rivers streams, can live both in water and on land.",25.3.2025,1,10
64,pungawerewere,spider,2,Animal that makes webs to catch food.,25.3.2025,1,5
65,purerehua,butterfly,2,Animal that has beautiful wings and comes out of a crysalis.,25.3.2025,1,1
66,rango,fly,2,Annoying pest that often feeds on rotten food (and other gross substances).,25.3.2025,1,6
67,tohora,whale,2,Large mammal that lives in the ocean (not to be confused with fish).,25.3.2025,1,9
68,toroa,albatross,2,Large bird that lives near the sea.,25.3.2025,1,3
69,tukutuku,spider web,2,Trap made by spiders,25.3.2025,1,5
70,tuna,eel,2,Long slimy fish (can be good to eat).,25.3.2025,1,9
71,hu,shoe,3,Covering that is worn on one's feet.,25.3.2025,1,7
72,kahu,cloak,3,Pending,25.3.2025,1,5
73,kakahu,garment,3,Pending,25.3.2025,1,4
74,miro,thread,3,Pending,25.3.2025,1,2
75,piupiu,flax skirt,3,Pending,25.3.2025,1,3
